gene,celltype,driver_score,evidence_count,n_trajectories,gene_category,DREM_score,dynamic_score,rank
KCNQ5,MEP,0.003825,1,1,other,0.0,0.0096,233
ITGA2B,MEP,0.003825,1,1,other,0.0,0.0096,234
CDC42SE2,MEP,0.003823,1,1,other,0.0,0.0096,235
TRIR,MEP,0.003769,1,1,other,0.0,0.0094,236
TOMM6,MEP,0.003669,1,1,other,0.0,0.0092,237
TYMS,MEP,0.003603,1,1,other,0.0,0.009,238
BMP2K,MEP,0.003565,1,1,other,0.0,0.0089,239
CERS6,MEP,0.003538,1,1,other,0.0,0.0088,240
HBG2,MEP,0.003506,1,1,hemoglobin,0.0,0.0195,241
TAOK3,MEP,0.003497,1,1,other,0.0,0.0087,242
CCL5,MEP,0.003458,1,1,other,0.0,0.0086,243
VAV3,MEP,0.003421,1,1,other,0.0,0.0086,244
FOXN3,MEP,0.003421,1,1,other,0.0,0.0086,245
RPL37A,MEP,0.003419,1,1,ribosomal,0.0,0.0155,246
SREBF2,MEP,0.003413,1,1,other,0.0057,0.0,247
RAD51B,MEP,0.003405,1,1,other,0.0,0.0085,248
H2AFZ,MEP,0.003341,1,1,other,0.0,0.0084,249
GLUL,MEP,0.003293,1,1,other,0.0,0.0082,250
TUBB,MEP,0.003292,1,1,other,0.0,0.0082,251
RNF220,MEP,0.003236,1,1,other,0.0,0.0081,252
MT2A,MEP,0.003192,1,1,other,0.0,0.008,253
HERC1,MEP,0.003177,1,1,other,0.0,0.0079,254
CA1,MEP,0.003119,1,1,other,0.0,0.0078,255
TFDP2,MEP,0.003118,1,1,other,0.0,0.0078,256
GNLY,MEP,0.003096,1,1,other,0.0,0.0077,257
KIAA1211,MEP,0.003078,1,1,other,0.0,0.0077,258
LYL1,MEP,0.003061,1,1,tf,0.0,0.0059,259
FABP5,MEP,0.003029,1,1,other,0.0,0.0076,260
HBM,MEP,0.003024,1,1,hemoglobin,0.0,0.0168,261
VPS13B,MEP,0.003003,1,1,other,0.0,0.0075,262
ANKRD17,MEP,0.003003,1,1,other,0.0,0.0075,263
AUTS2,MEP,0.002916,1,1,other,0.0,0.0073,264
MBD5,MEP,0.002911,1,1,other,0.0,0.0073,265
ATP2C1,MEP,0.002889,1,1,other,0.0,0.0072,266
COP1,MEP,0.002867,1,1,other,0.0,0.0072,267
H2AFY,MEP,0.002818,1,1,other,0.0,0.007,268
PPP3R1,MEP,0.00281,1,1,other,0.0,0.007,269
PHACTR4,MEP,0.002791,1,1,other,0.0,0.007,270
SEM1,MEP,0.002752,1,1,other,0.0,0.0069,271
RTRAF,MEP,0.002673,1,1,other,0.0,0.0067,272
PICALM,MEP,0.002629,1,1,other,0.0,0.0066,273
RNF24,MEP,0.002612,1,1,other,0.0,0.0065,274
SPIDR,MEP,0.002583,1,1,other,0.0,0.0065,275
ARIH1,MEP,0.002494,1,1,other,0.0,0.0062,276
LDLRAD4,MEP,0.002471,1,1,other,0.0,0.0062,277
NKG7,MEP,0.00247,1,1,other,0.0,0.0062,278
MCTP2,MEP,0.002453,1,1,other,0.0,0.0061,279
ATP5PB,MEP,0.002437,1,1,other,0.0,0.0061,280
ACSM3,MEP,0.002415,1,1,other,0.0,0.006,281
ATP5PD,MEP,0.002395,1,1,other,0.0,0.006,282
SSH2,MEP,0.002385,1,1,other,0.0,0.006,283
PRKAR2B,MEP,0.002369,1,1,other,0.0,0.0059,284
PBX1,MEP,0.002358,1,1,tf,0.0,0.0045,285
ITPR2,MEP,0.002313,1,1,other,0.0,0.0058,286
ABCC1,MEP,0.002303,1,1,other,0.0,0.0058,287
AFF1,MEP,0.00228,1,1,other,0.0,0.0057,288
PIP5K1B,MEP,0.002265,1,1,other,0.0,0.0057,289
RABGAP1L,MEP,0.002263,1,1,other,0.0,0.0057,290
FREM1,MEP,0.002221,1,1,other,0.0,0.0056,291
RIPOR2,MEP,0.002201,1,1,other,0.0,0.0055,292
RBIS,MEP,0.002181,1,1,other,0.0,0.0055,293
